Sample.Name	sample_number	Cruise	Event	Order_Occ	Sta_ID	line	station	Cast_Type	Cardinal_Sta	Station_Notes	Bottle	Assoc_Bottle	Depthm	Bottle_Notes	NCOG_DNA	NCOG_RNA	DNA_VolFilt	RNA_VolFilt	Pump_Speed	DNA_RNA_Vol_Notes	Filt_Str	Filt_End	Date	Time	DateTime	Lat_Dec	Lon_Dec	Distance	NoCCSamples	DelDepth	CC_Depth	T_degC	Salnty	STheta	O2ml_L	PO4ug	SiO3ug	NO3ug	NH3ug	ChlorA	Phaeop	RecInd	Code_CCE	IntChl	IntC14	MLD_Sigma	NCDepth	Spike1	Spike8	depth_category
201404_080.0_055.0_11	NR0011	201404	687	58	080.0 055.0	80	55	Prodo	TRUE	Chla max at 10m and 48m	22	21	11		TRUE	TRUE	1.04	3.06	330		1138	1149	4/13/2014	17:10	4/13/14 17:10	34.31628	-120.80113	-18.52400017	2	0	11	12.44999981	33.56890106	25.39300919	5.535999775	0.980000019	13.89999962	9.699999809	0.100000001	2.068000078	0.757000029	3	Up	143.5	1678.300049	13.36326151	2	1457426284	546347754	Surface
201404_080.0_055.0_52	NR0012	201404	687	58	080.0 055.0	80	55	Prodo	TRUE	Chla max at 10m and 48m	16	15	52		TRUE	TRUE	1.04	3.21	330		1138	1149	4/13/2014	17:10	4/13/14 17:10	34.31628	-120.80113	-18.52400017	2	0	52	10.96000004	33.68980026	25.76514053	4.56099987	1.409999967	16.12999916	15.10000038	1.179999948	3.608999968	1.144000053	3	Up	143.5	1678.300049	13.36326151	2	1457426284	546347754	DCM
201404_080.0_090.0_10	NR0013	201404	750	62	080.0 090.0	80	90	Prodo	FALSE		23	23	10		TRUE	TRUE	1.04	6.15	330	Mixed water from surf and 10m; mixlayer	1045	1112	4/14/2014	17:07	4/14/14 17:07	33.14778	-123.2202	-158.0939941	2	0	10	14.75800037	33.43180084	24.8167305	5.943999767	0.379999995	3.24000001	0	0.02	0.314999998	0.078000002	3	CC	32.20000076	332.5	42.18200709	54.42105262	1457426284	546347754	Surface
201404_080.0_090.0_54	NR0014	201404	750	62	080.0 090.0	80	90	Prodo	FALSE		18	17	54		TRUE	TRUE	1.04	6.01	330		1045	1112	4/14/2014	17:07	4/14/14 17:07	33.14778	-123.2202	-158.0939941	2	0	54	13.79599953	33.38280106	24.98345947	5.789000034	0.469999999	3.230000019	0.800000012	0.200000003	0.653999984	0.326000005	3	CC	32.20000076	332.5	42.18200709	54.42105262	1457426284	546347754	DCM
201407_090.0_090.0_10	NR0015	201407	299	20	090.0 090.0	90	90	Prodo	TRUE		21	20	10		TRUE	TRUE	2.2	4.9	330		1135	1200	7/10/2014	17:30	7/10/14 17:30	31.4183	-121.9898	-248.470993	2	0	10	18.44400024	33.47570038	23.99765968	5.459000111	0.330000013	2.609999895	0	0.07	0.119999997	0.021	3	Off	25.79999924	388	11.72200164	53.00000037	1457426284	546347754	Surface
201407_090.0_090.0_58	NR0016	201407	299	20	090.0 090.0	90	90	Prodo	TRUE		15	14	58		TRUE	TRUE	1.04	5.695	330		1135	1200	7/10/2014	17:30	7/10/14 17:30	31.4183	-121.9898	-248.470993	2	2	56	14.23999977	33.28950119	24.81954002	5.747000217	0.50999999	3.049999952	1.299999952	0.5	0.377000004	0.175999999	3	Off	25.79999924	388	11.72200164	53.00000037	1457426284	546347754	DCM
201407_090.0_090.0_170	NR0017	201407	299	20	090.0 090.0	90	90	Prodo	TRUE		8	8	170		FALSE	TRUE		6.295	330		1204	1223	7/10/2014	17:30	7/10/14 17:30	31.4183	-121.9898	-248.470993	1	0	170	9.072999954	33.80540085	26.1772995	3.171000004	1.850000024	26.31999969	24	0.07	0.004	0.027000001	3	Off	25.79999924	388	11.72200164	53.00000037	1457426284	546347754	Deep
201407_090.0_090.0_515	NR0018	201407	299	20	090.0 090.0	90	90	Prodo	TRUE		1	1	515		FALSE	TRUE		5.11	330		1204	1223	7/10/2014	17:30	7/10/14 17:30	31.4183	-121.9898	-248.470993	1	0	515	5.607999802	34.21070099	26.98829079	0.421999991	3.180000067	82.16000366	40.79999924	0.059999999	NA	NA	3	Off	25.79999924	388	11.72200164	53.00000037	1457426284	546347754	Deep
201407_090.0_090.0_3500_a	NR0019	201407	300.8	21	090.0 090.0	90	90	Prodo	FALSE		3	3	3500		FALSE	TRUE		8.815	330		1422	1457	7/10/2014	17:30	7/10/14 17:30	31.4183	-121.9898	-248.470993	1	1	3499	1.549000025	34.67539978	27.78383064	2.90199995	2.730000019	170.3200073	37.79999924	0.039999999	NA	NA	3	Off	25.79999924	388	11.72200164	53.00000037	1457426284	546347754	Deep
201407_090.0_090.0_3500_b	NR0020	201407	300.8	21	090.0 090.0	90	90	Prodo	FALSE		4	4	3500		FALSE	TRUE		8.71	330		1504	1538	7/10/2014	17:30	7/10/14 17:30	31.4183	-121.9898	-248.470993	1	1	3499	1.549000025	34.67539978	27.78383064	2.90199995	2.730000019	170.3200073	37.79999924	0.039999999	NA	NA	3	Off	25.79999924	388	11.72200164	53.00000037	1457426284	546347754	Deep
201407_090.0_090.0_3500_c	NR0021	201407	300.8	21	090.0 090.0	90	90	Prodo	FALSE		5	5	3500		FALSE	TRUE		9.165	330		1422	1457	7/10/2014	17:30	7/10/14 17:30	31.4183	-121.9898	-248.470993	1	1	3499	1.549000025	34.67539978	27.78383064	2.90199995	2.730000019	170.3200073	37.79999924	0.039999999	NA	NA	3	Off	25.79999924	388	11.72200164	53.00000037	1457426284	546347754	Deep
201407_090.0_090.0_3500_d	NR0022	201407	300.8	21	090.0 090.0	90	90	Prodo	FALSE		6	6	3500		FALSE	TRUE		7.19	330		1504	1538	7/10/2014	17:30	7/10/14 17:30	31.4183	-121.9898	-248.470993	1	1	3499	1.549000025	34.67539978	27.78383064	2.90199995	2.730000019	170.3200073	37.79999924	0.039999999	NA	NA	3	Off	25.79999924	388	11.72200164	53.00000037	1457426284	546347754	Deep
201407_090.0_060.0_11	NR0023	201407	357	24	090.0 060.0	90	60	Prodo	FALSE		23	22	11		TRUE	TRUE	1.04	6.36	330		1044	1106	7/11/2014	17:12	7/11/14 17:12	32.42103	-119.96358	-129.0050049	2	1	10	16.81599998	33.50099945	24.40884018	5.68200016	0.319999993	0.620000005	0	0.059999999	0.197999999	0.039999999	3	CC	19.5	394.7000122	14.21894325	45.99999978	1457426284	546347754	Surface
201407_090.0_060.0_27	NR0024	201407	357	24	090.0 060.0	90	60	Prodo	FALSE		19	18	27		TRUE	TRUE	1.04	5.82	330		1044	1107	7/11/2014	17:12	7/11/14 17:12	32.42103	-119.96358	-129.0050049	2	0	27	16.04100037	33.53509903	24.61449051	5.75	0.319999993	0.629999995	0	0.029999999	0.284999996	0.128999993	3	CC	19.5	394.7000122	14.21894325	45.99999978	1457426284	546347754	DCM
201407_090.0_060.0_170	NR0025	201407	357	24	090.0 060.0	90	60	Prodo	FALSE		8	8	170		FALSE	TRUE		4.84	330		1115	1135	7/11/2014	17:12	7/11/14 17:12	32.42103	-119.96358	-129.0050049	1	1	169	8.595999718	33.97809982	26.38693047	2.553999901	2.089999914	33.66999817	27.60000038	0.02	0.002	0.025	3	CC	19.5	394.7000122	14.21894325	45.99999978	1457426284	546347754	Deep
201407_090.0_060.0_515	NR0026	201407	357	24	090.0 060.0	90	60	Prodo	FALSE		1	1	515		FALSE	TRUE		6.06	330		1115	1137	7/11/2014	17:12	7/11/14 17:12	32.42103	-119.96358	-129.0050049	1	0	515	6.112999916	34.30899811	27.0040493	0.277999997	3.160000086	77.05999756	39.5	0.01	NA	NA	3	CC	19.5	394.7000122	14.21894325	45.99999978	1457426284	546347754	Deep
201407_090.0_030.0_10	NR0027	201407	444	29	090.0 030.0	90	30	Prodo	FALSE		21	20	10		TRUE	TRUE	1.04	6.355	330		1141	1203	7/12/2014	17:52	7/12/14 17:52	33.42318	-117.90352	-9.085000038	2	0	10	21.22999954	33.6405983	23.39948082	5.386000156	0.280000001	1.629999995	0	0.090000004	0.131999999	0.027000001	3	SCB	26.20000076	639.7999878	10.26965089	37	1457426284	546347754	Surface
201407_090.0_030.0_43	NR0028	201407	444	29	090.0 030.0	90	30	Prodo	FALSE		16	15	43		TRUE	TRUE	0.5	4.32	330		1141	1156	7/12/2014	17:52	7/12/14 17:52	33.42318	-117.90352	-9.085000038	2	0	43	13.29500008	33.33420181	25.04681969	5.710999966	0.600000024	4.039999962	2.5	0.07	0.569000006	0.298999995	3	SCB	26.20000076	639.7999878	10.26965089	37	1457426284	546347754	DCM
201407_090.0_030.0_170	NR0029	201407	444	29	090.0 030.0	90	30	Prodo	FALSE		8	8	170		FALSE	TRUE		5.29	330		1208	1228	7/12/2014	17:52	7/12/14 17:52	33.42318	-117.90352	-9.085000038	1	0	170	10.18400002	34.09400177	26.22034073	1.924999952	2.200000048	29.87000084	24.39999962	0.039999999	0.004	0.048	3	SCB	26.20000076	639.7999878	10.26965089	37	1457426284	546347754	Deep
201407_090.0_030.0_515	NR0030	201407	444	29	090.0 030.0	90	30	Prodo	FALSE		1	1	515		FALSE	TRUE		6.43	330		1208	1232	7/12/2014	17:52	7/12/14 17:52	33.42318	-117.90352	-9.085000038	1	3	512	7.227000237	34.29339981	26.8447094	0.458999991	2.960000038	61.75999832	34.90000153	0.100000001	NA	NA	3	SCB	26.20000076	639.7999878	10.26965089	37	1457426284	546347754	Deep
201407_080.0_080.0_10	NR0031	201407	760	50	080.0 080.0	80	80	Prodo	TRUE		23	22	10		TRUE	TRUE	2.2	3.97	330		1433	1447	7/16/2014	20:04	7/16/14 20:04	33.48453	-122.53108	-118.0670013	2	0	10	17.46999931	33.15179825	23.98667908	5.639999866	0.330000013	2.789999962	0	0.050000001	0.107000001	0.025	3	CC	26.89999962	180.8000031	28.90600637	93	1457426284	546347754	Surface
201407_080.0_080.0_67	NR0032	201407	760	50	080.0 080.0	80	80	Prodo	TRUE		16	16	67		TRUE	TRUE	0.5	4.47	330		1433	1449	7/16/2014	20:04	7/16/14 20:04	33.48453	-122.53108	-118.0670013	2	0	67	15.76200008	33.12369919	24.36363983	5.84100008	0.349999994	2.730000019	0	0.059999999	0.335999995	0.172999993	3	CC	26.89999962	180.8000031	28.90600637	93	1457426284	546347754	DCM
201407_080.0_080.0_170	NR0033	201407	760	50	080.0 080.0	80	80	Prodo	TRUE		8	8	170		FALSE	TRUE		6.29	330		1452	1515	7/16/2014	20:04	7/16/14 20:04	33.48453	-122.53108	-118.0670013	1	0	170	9.336999893	33.72909927	26.07547951	3.098999977	1.889999986	25.04999924	24.5	0.050000001	0.007	0.028000001	3	CC	26.89999962	180.8000031	28.90600637	93	1457426284	546347754	Deep
201407_080.0_080.0_515	NR0034	201407	760	50	080.0 080.0	80	80	Prodo	TRUE		1	1	515		FALSE	TRUE		5.28	330		1452	1508	7/16/2014	20:04	7/16/14 20:04	33.48453	-122.53108	-118.0670013	1	0	515	5.545000076	34.18180084	26.97293091	0.522000015	3.099999905	80.91999817	40.79999924	0.090000004	NA	NA	3	CC	26.89999962	180.8000031	28.90600637	93	1457426284	546347754	Deep
201407_080.0_060.0_10	NR0035	201407	887	58	080.0 060.0	80	60	Prodo	FALSE		21	20	10		TRUE	TRUE	1.04	2.69	330		1259	1303	7/18/2014	19:07	7/18/14 19:07	34.15253	-121.15268	-38.52399826	2	1	9	18.16500092	33.58879852	24.15291023	5.616000175	0.330000013	1.399999976	0	0.140000001	0.221000001	0.039999999	3	Up	28.60000038	309.6000061	11.89253149	30	1457426284	546347754	Surface
201407_080.0_060.0_35	NR0036	201407	887	58	080.0 060.0	80	60	Prodo	FALSE		17	17	35		TRUE	TRUE	0.5	2.1	330		1259	1306	7/18/2014	19:07	7/18/14 19:07	34.15253	-121.15268	-38.52399826	2	1	34	14.46700001	33.46820068	24.90833092	5.765999794	0.49000001	1.75999999	2	0.349999994	1.101999998	0.432999998	3	Up	28.60000038	309.6000061	11.89253149	30	1457426284	546347754	DCM
201407_080.0_060.0_170	NR0037	201407	887	58	080.0 060.0	80	60	Prodo	FALSE		8	8	170		FALSE	TRUE		6.365	330		1309	1336	7/18/2014	19:07	7/18/14 19:07	34.15253	-121.15268	-38.52399826	1	0	170	8.392000198	34.00659943	26.44042969	2.181999922	2.230000019	36.72000122	29.79999924	0.07	0.006	0.057999998	3	Up	28.60000038	309.6000061	11.89253149	30	1457426284	546347754	Deep
201407_080.0_060.0_515	NR0038	201407	887	58	080.0 060.0	80	60	Prodo	FALSE		1	1	515		FALSE	TRUE		6.175	330		1309	1332	7/18/2014	19:07	7/18/14 19:07	34.15253	-121.15268	-38.52399826	1	0	515	6.348999977	34.3064003	26.97200966	0.298000008	3.130000114	75.12000275	38.90000153	0.090000004	NA	NA	3	Up	28.60000038	309.6000061	11.89253149	30	1457426284	546347754	Deep
201411_090.0_090.0_10	NR0039	201411	219	21	090.0 090.0	90	90	Prodo	FALSE	early prodo cast, only went to 200m	10	10	10		TRUE	TRUE	1.04	6.49	330		1135	1155	11/12/2014	18:15	11/12/14 18:15	31.4194	-121.9893	-248.4149933	2	0	10	19.53899956	33.18320084	23.49801064	5.30700016	0.340000004	1.960000038	0.059999999	0.100000001	0.151999995	0.037999999	3	Off	24.70000076	177.3999939	28.56417561	74.42900273	1457426284	546347754	Surface
201411_090.0_090.0_67	NR0040	201411	219	21	090.0 090.0	90	90	Prodo	FALSE	early prodo cast, only went to 200m	6	6	67		TRUE	TRUE	1.04	6.805	330		1135	1155	11/12/2014	18:15	11/12/14 18:15	31.4194	-121.9893	-248.4149933	2	1	66	15.17599964	33.0306015	24.42091942	5.918000221	0.409999996	2.299999952	0.07	0.129999995	0.289000005	0.230000004	3	Off	24.70000076	177.3999939	28.56417561	74.42900273	1457426284	546347754	DCM
201411_090.0_090.0_170	NR0041	201411	219	21	090.0 090.0	90	90	Prodo	FALSE	early prodo cast, only went to 200m	2	2	170		FALSE	TRUE		7.43	330		1135	1159	11/12/2014	18:15	11/12/14 18:15	31.4194	-121.9893	-248.4149933	1	0	170	9.376999855	33.6427002	26.00145912	3.72300005	1.679999948	21.65999985	21.5	0.059999999	0.007	0.02	3	Off	24.70000076	177.3999939	28.56417561	74.42900273	1457426284	546347754	Deep
201411_090.0_053.0_8	NR0042	201411	270	26	090.0 053.0	90	53	Prodo	TRUE		22	21	8		TRUE	TRUE	1.04	8.67	330		1321	1350	11/13/2014	19:29	11/13/14 19:29	32.65318	-119.47958	-100.8389969	2	0	8	18.44300079	33.48880005	24.00774956	5.436999798	0.370000005	1.230000019	0.07	0.379999995	0.221000001	0.072999999	3		22.89999962	216.5	33.18248184	48.53508789	1457426284	546347754	Surface
201411_090.0_053.0_43	NR0043	201411	270	26	090.0 053.0	90	53	Prodo	TRUE		17	16	43		TRUE	TRUE	1.04	8.465	330		1321	1349	11/13/2014	19:29	11/13/14 19:29	32.65318	-119.47958	-100.8389969	2	-1	44	15.29199982	33.07170105	24.42583084	5.806000233	0.340000004	1.820000052	0.059999999	0.129999995	0.365999997	0.259000003	3		22.89999962	216.5	33.18248184	48.53508789	1457426284	546347754	DCM
201411_090.0_053.0_170	NR0044	201411	270	26	090.0 053.0	90	53	Prodo	TRUE		8	8	170		FALSE	TRUE		6.07	330		1321	1342	11/13/2014	19:29	11/13/14 19:29	32.65318	-119.47958	-100.8389969	1	1	169	8.975000381	33.93030167	26.2905407	2.63499999	2.039999962	30.87999916	26.30999947	0.050000001	0.001	0.028999999	3		22.89999962	216.5	33.18248184	48.53508789	1457426284	546347754	Deep
201411_090.0_053.0_515	NR0045	201411	270	26	090.0 053.0	90	53	Prodo	TRUE		1	1	515		FALSE	TRUE		5.92	330		1321	1341	11/13/2014	19:29	11/13/14 19:29	32.65318	-119.47958	-100.8389969	1	-2	517	6.289999962	34.30649948	26.97969055	0.294	3.150000095	75.61000061	39.22000122	0.119999997	NA	NA	3		22.89999962	216.5	33.18248184	48.53508789	1457426284	546347754	Deep
201411_090.0_028.0_11	NR0046	201411	339	31	090.0 028.0	90	28	Prodo	FALSE		7	6	11		TRUE	TRUE	0.5	2.525	330		1211	1219	11/14/2014	19:17	11/14/14 19:17	33.48468	-117.7669	-1.320000052	2	0	11	18.90999985	33.50579834	23.9043293	5.563000202	0.379999995	2.099999905	0	0.180000007	0.829999983	0.460999995	3	SCB	39.40000153	519.2000122	15.31100452	NA	1457426284	546347754	Surface
201411_090.0_028.0_30	NR0047	201411	339	31	090.0 028.0	90	28	Prodo	FALSE		4	3	30		TRUE	TRUE	0.5	2.64	330		1211	1219	11/14/2014	19:17	11/14/14 19:17	33.48468	-117.7669	-1.320000052	2	0	30	17.7310009	33.43840027	24.14517021	5.556000233	0.379999995	3.49000001	0.270000011	0.340000004	0.816999972	0.250999987	3	SCB	39.40000153	519.2000122	15.31100452	NA	1457426284	546347754	DCM
201411_080.0_070.0_13	NR0048	201411	623	57	080.0 070.0	80	70	Prodo	TRUE		23	22	13		TRUE	TRUE	1.04	4.225	330	RNA - change tubing during run	1030	1050	11/19/2014	16:42	11/19/14 16:42	33.82042	-121.84573	-78.34300232	2	0	13	16.64699936	33.18590164	24.20651054	5.679999828	0.370000005	1.389999986	0.090000004	0.610000014	0.293000013	0.079000004	3	CC	35.20000076	269.2000122	21.71192204	45.40065144	1457426284	546347754	Surface
201411_080.0_070.0_34	NR0049	201411	623	57	080.0 070.0	80	70	Prodo	TRUE		19	18	34		TRUE	TRUE	0.5	3.757	330	RNA - tubing blew out in peristalic pump had to change	1030	1052	11/19/2014	16:42	11/19/14 16:42	33.82042	-121.84573	-78.34300232	2	0	34	16.31900024	33.18059921	24.27936935	5.735000134	0.330000013	1.470000029	0.059999999	0.129999995	0.479999989	0.143000007	3	CC	35.20000076	269.2000122	21.71192204	45.40065144	1457426284	546347754	DCM
201411_080.0_070.0_170	NR0050	201411	623	57	080.0 070.0	80	70	Prodo	TRUE		8	8	170		FALSE	TRUE		5.81	330	RNA - tubing blew out in peristalic pump had to change; filtrate over flowed about 10ml and was not adjusted in the RNA_VolFilt	1030	1110	11/19/2014	16:42	11/19/14 16:42	33.82042	-121.84573	-78.34300232	1	1	169	9.362000465	34.07870102	26.34490967	1.856999993	2.279999971	33.77000046	27.47999954	0.029999999	0.003	0.034000002	3	CC	35.20000076	269.2000122	21.71192204	45.40065144	1457426284	546347754	Deep
201411_080.0_070.0_515	NR0051	201411	623	57	080.0 070.0	80	70	Prodo	TRUE		1	1	515		FALSE	TRUE		5.2	330	RNA - change tubing during run	1030	1110	11/19/2014	16:42	11/19/14 16:42	33.82042	-121.84573	-78.34300232	1	-1	516	6.730000019	34.26810074	26.89211082	0.437000006	3.059999943	68.15000153	37.31999969	0.029999999	NA	NA	3	CC	35.20000076	269.2000122	21.71192204	45.40065144	1457426284	546347754	Deep
201411_080.0_080.0_10	NR0052	201411	628	58	080.0 080.0	80	80	Prodo	TRUE		21	20	10		TRUE	TRUE	1.04	7.58	330		1552	1621	11/19/2014	21:52	11/19/14 21:52	33.48228	-122.53438	-118.2779999	2	0	10	18.11499977	33.45449829	24.06249046	5.46999979	0.319999993	0.810000002	0.050000001	0.079999998	0.206	0.052999999	3	CC	24.10000038	NA	23.83811047	46.71140935	1457426284	546347754	Surface
201411_080.0_080.0_50	NR0053	201411	628	58	080.0 080.0	80	80	Prodo	TRUE		16	15	50		TRUE	TRUE	0.5	7.93	330		1552	1622	11/19/2014	21:52	11/19/14 21:52	33.48228	-122.53438	-118.2779999	2	0	50	14.72000027	33.3791008	24.7867794	5.468999863	0.50999999	2.00999999	1.49000001	0.129999995	0.52700001	0.375999987	3	CC	24.10000038	NA	23.83811047	46.71140935	1457426284	546347754	DCM
201411_080.0_080.0_170	NR0054	201411	628	58	080.0 080.0	80	80	Prodo	TRUE		8	8	170		FALSE	TRUE		6.11	330		1553	1618	11/19/2014	21:52	11/19/14 21:52	33.48228	-122.53438	-118.2779999	1	1	169	8.479999542	33.90430069	26.34679031	3.190999985	1.879999995	30.35000038	25.36000061	0.039999999	0.001	0.024	3	CC	24.10000038	NA	23.83811047	46.71140935	1457426284	546347754	Deep
201411_080.0_080.0_515	NR0055	201411	628	58	080.0 080.0	80	80	Prodo	TRUE		1	1	515		FALSE	TRUE		6.29	330		1553	1616	11/19/2014	21:52	11/19/14 21:52	33.48228	-122.53438	-118.2779999	1	-2	517	5.585000038	34.22529984	27.00263977	0.375	3.130000114	82.58000183	40.40000153	0.079999998	NA	NA	3	CC	24.10000038	NA	23.83811047	46.71140935	1457426284	546347754	Deep
201501_090.0_110.0_14	NR0056	201501	232	19	090.0 110.0	90	110	Prodo	FALSE		21	20	14		TRUE	TRUE	2.2	7.4	330		1040	1110	1/19/2015	17:11	1/19/15 17:11	30.75352	-123.33213	-328.1679993	2	0	14	17.68700027	33.19800186	23.97038078	5.540999889	0.319999993	1.850000024	0	0	0.133000001	0.041999999	3	Off	22.60000038	185.8999939	66.62751795	89.03526456	1457426284	546347754	DCM
201501_090.0_110.0_84	NR0057	201501	232	19	090.0 110.0	90	110	Prodo	FALSE		14	13	84		TRUE	TRUE	1.04	8.21	330		1040	1111	1/19/2015	17:11	1/19/15 17:11	30.75352	-123.33213	-328.1679993	2	-1	85	14.40699959	33.04079819	24.59435081	5.936999798	0.400000006	2.619999886	0.109999999	0.02	0.236000001	0.273000002	3	Off	22.60000038	185.8999939	66.62751795	89.03526456	1457426284	546347754	DCM
201501_090.0_110.0_170	NR0058	201501	232	19	090.0 110.0	90	110	Prodo	FALSE		8	8	170		FALSE	TRUE		7.337	330		1039	1104	1/19/2015	17:11	1/19/15 17:11	30.75352	-123.33213	-328.1679993	1	0	170	9.739999771	33.40530014	25.75682068	4.407999992	1.399999976	16.22999954	17.29999924	0	0.025	0.046	3	Off	22.60000038	185.8999939	66.62751795	89.03526456	1457426284	546347754	Deep
201501_090.0_110.0_515	NR0059	201501	232	19	090.0 110.0	90	110	Prodo	FALSE		1	1	515		FALSE	TRUE		7.36	330		1039	1110	1/19/2015	17:11	1/19/15 17:11	30.75352	-123.33213	-328.1679993	1	1	514	6.026000023	34.24700165	26.96590042	0.361000001	3.099999905	78.12000275	39.83000183	0.01	NA	NA	3	Off	22.60000038	185.8999939	66.62751795	89.03526456	1457426284	546347754	Deep
